NO;NAMA BARANG;HARGA KONTER;HARGA KONSUMEN;STOK BARANG
411;LCD TS INFINIX SMART 5 X657 SHINESTAR ;;;
412;LCD TS INFINIX NOTE 10/ NOTE 11 PRO X693 OG SUPER ;;;
413;LCD TS INFINIX HOT 8/8 LITE X650 OG SUPER ;;;
414;LCD TS INFINIX HOT 8/8 LITE X650 WINFOCUS ;;;
415;LCD TS INFINIX HOT 8/8 LITE X650 MEETOO;;;
416;LCD TS INFINIX HOT 8/8 LITE X650 SHINESTAR;;;
417;LCD TS INFINIX HOT 20 5G X666 INCEL;;;
418;LCD TS INFINIX SMART 7 X6515 TICTOK ;;;
419;LCD TS INFINIX HOT 12/12 PLAY X616C INCELL;;;
420;LCD TS INFINIX HOT 11 X662 MEETOO;;;
421;LCD TS INFINIX SMART 6 HD X6512 WINFOCUS;;;
422;LCD TS INFINIX SMART 6 HD X6512 MEETOO;;;
423;LCD TS INFINIX NOTE 12/12 PRO X676C INCELL;;;
424;LCD TS INFINIX ITEL A48/ 16006 MEETOO;;;
425;LCD TS INFINIX HOT 10I X659 MEETOO;;;
426;LCD TS INFINIX NOTE8 X692 SMALL INCEL;;;
427;LCD TS INFINIX ZERO 8/8I X687 ORG;;;
428;LCD TS INFINIX ZERO 8/8I X687 INCELL;;;
429;LCD TS INFINIX SMART 6+ X6823 MGKU;;;
